DATE,OPEN,HIGH,LOW,CLOSE,VOL,P,R,RINFO
20150524,0.000177,0.000183,0.000173,0.000182,5675,0,0,0
20150525,0.000182,0.000188,0.000178,0.000178,6871,0,0,0
20150526,0.000178,0.000191,0.000178,0.000183,3845,0,0,0
20150527,0.000183,0.000210,0.000183,0.000197,8659,0,0,0
20150528,0.000195,0.000201,0.000188,0.000196,7217,0,0,0
20150529,0.000196,0.000198,0.000183,0.000183,7999,0,0,0
20150530,0.000183,0.000192,0.000183,0.000185,7228,0,0,0
20150531,0.000185,0.000185,0.000171,0.000177,4684,0,0,0
20150601,0.000177,0.000180,0.000166,0.000170,3525,0,0,0
20150602,0.000170,0.000185,0.000168,0.000178,5642,0,0,0
20150603,0.000178,0.000180,0.000175,0.000177,1820,0,0,0
20150604,0.000177,0.000179,0.000171,0.000172,2220,0,0,0
20150605,0.000172,0.000181,0.000168,0.000179,4105,0,0,0
20150606,0.000179,0.000179,0.000165,0.000170,3364,0,0,0
20150607,0.000170,0.000176,0.000163,0.000168,3360,0,0,0
20150608,0.000168,0.000172,0.000167,0.000171,3110,0,0,0
20150609,0.000171,0.000173,0.000139,0.000148,8723,0,0,0
20150610,0.000149,0.000159,0.000132,0.000153,4577,0,0,0
20150611,0.000153,0.000156,0.000142,0.000148,4653,0,0,0
20150612,0.000148,0.000154,0.000142,0.000148,3589,0,0,0
20150613,0.000148,0.000155,0.000146,0.000155,2980,0,0,0
20150614,0.000155,0.000159,0.000149,0.000155,2903,0,0,0
20150615,0.000155,0.000165,0.000147,0.000147,9550,0,0,0
20150616,0.000147,0.000161,0.000144,0.000160,6374,0,0,0
20150617,0.000160,0.000184,0.000155,0.000160,8668,0,0,0
20150618,0.000160,0.000172,0.000158,0.000172,3683,0,0,0
20150619,0.000173,0.000174,0.000154,0.000155,6743,0,0,0
20150620,0.000155,0.000160,0.000150,0.000158,1488,0,0,0
20150621,0.000158,0.000161,0.000152,0.000161,616,0,0,0
20150622,0.000161,0.000166,0.000149,0.000156,4900,0,0,0
20150623,0.000156,0.000169,0.000155,0.000158,2518,0,0,0
20150624,0.000158,0.000159,0.000154,0.000156,1656,0,0,0
20150625,0.000156,0.000159,0.000154,0.000154,2791,0,0,0
20150626,0.000154,0.000160,0.000148,0.000148,3547,0,0,0
20150627,0.000148,0.000158,0.000145,0.000157,4043,0,0,0
20150628,0.000157,0.000158,0.000149,0.000152,1838,0,0,0
20150629,0.000152,0.000156,0.000146,0.000150,2007,0,0,0
20150630,0.000150,0.000163,0.000148,0.000161,5197,0,0,0
20150701,0.000162,0.000163,0.000142,0.000142,2224,0,0,0
20150702,0.000142,0.000149,0.000140,0.000143,1323,0,0,0
20150703,0.000143,0.000152,0.000137,0.000143,3873,0,0,0
20150704,0.000144,0.000146,0.000132,0.000141,1575,0,0,0
20150705,0.000141,0.000143,0.000122,0.000129,3717,0,0,0
20150706,0.000128,0.000134,0.000126,0.000126,521,0,0,0
20150707,0.000126,0.000147,0.000124,0.000142,3977,0,0,0
20150708,0.000142,0.000162,0.000142,0.000161,2407,0,0,0
20150709,0.000161,0.000161,0.000142,0.000144,1678,0,0,0
20150710,0.000144,0.000157,0.000138,0.000149,3166,0,0,0
20150711,0.000145,0.000178,0.000142,0.000161,5422,0,0,0
20150712,0.000161,0.000170,0.000154,0.000157,3108,0,0,0
20150713,0.000157,0.000176,0.000151,0.000157,3229,0,0,0
20150714,0.000157,0.000166,0.000148,0.000158,970,0,0,0
20150715,0.000158,0.000161,0.000148,0.000148,746,0,0,0
20150716,0.000148,0.000151,0.000141,0.000142,1869,0,0,0
20150717,0.000142,0.000151,0.000142,0.000149,191,0,0,0
20150718,0.000149,0.000152,0.000144,0.000146,783,0,0,0
20150719,0.000146,0.000150,0.000144,0.000148,898,0,0,0
20150720,0.000144,0.000172,0.000144,0.000149,4446,0,0,0
20150721,0.000149,0.000150,0.000144,0.000149,2177,0,0,0
20150722,0.000149,0.000151,0.000141,0.000142,1237,0,0,0
20150723,0.000142,0.000156,0.000142,0.000146,2965,0,0,0
20150724,0.000146,0.000194,0.000146,0.000177,20017,0,0,0
20150725,0.000176,0.000201,0.000170,0.000184,6331,0,0,0
20150726,0.000182,0.000189,0.000169,0.000173,3001,0,0,0
20150727,0.000173,0.000179,0.000163,0.000163,4905,0,0,0
20150728,0.000163,0.000175,0.000162,0.000174,3019,0,0,0
20150729,0.000174,0.000174,0.000156,0.000161,1294,0,0,0
20150730,0.000161,0.000171,0.000160,0.000166,1904,0,0,0
20150731,0.000166,0.000170,0.000158,0.000164,798,0,0,0
20150801,0.000164,0.000165,0.000154,0.000164,1445,0,0,0
20150802,0.000163,0.000164,0.000153,0.000154,2565,0,0,0
20150803,0.000154,0.000157,0.000152,0.000154,2002,0,0,0
20150804,0.000154,0.000158,0.000146,0.000148,2833,0,0,0
20150805,0.000148,0.000157,0.000143,0.000148,4230,0,0,0
20150806,0.000148,0.000148,0.000141,0.000141,952,0,0,0
20150807,0.000141,0.000146,0.000140,0.000145,1811,0,0,0
20150808,0.000145,0.000147,0.000135,0.000136,3307,0,0,0
20150809,0.000136,0.000140,0.000126,0.000130,8393,0,0,0
20150810,0.000130,0.000139,0.000130,0.000135,1268,0,0,0
20150811,0.000135,0.000139,0.000126,0.000135,3006,0,0,0
20150812,0.000135,0.000138,0.000128,0.000133,5295,0,0,0
20150813,0.000128,0.000133,0.000121,0.000123,3420,0,0,0
20150814,0.000123,0.000130,0.000121,0.000121,1770,0,0,0
20150815,0.000121,0.000125,0.000119,0.000119,2058,0,0,0
20150816,0.000120,0.000126,0.000117,0.000123,2245,0,0,0
20150817,0.000123,0.000127,0.000119,0.000119,1511,0,0,0
20150818,0.000119,0.000121,0.000092,0.000092,2207,0,0,0
20150819,0.000099,0.000110,0.000097,0.000100,713,0,0,0
20150820,0.000100,0.000109,0.000100,0.000106,148,0,0,0
20150821,0.000106,0.000107,0.000100,0.000101,651,0,0,0
20150822,0.000101,0.000102,0.000094,0.000101,481,0,0,0
20150823,0.000101,0.000104,0.000097,0.000098,111,0,0,0
20150824,0.000098,0.000100,0.000091,0.000093,1331,0,0,0
20150825,0.000093,0.000096,0.000086,0.000086,1988,0,0,0
20150826,0.000086,0.000094,0.000086,0.000090,1348,0,0,0
20150827,0.000090,0.000098,0.000088,0.000097,833,0,0,0
20150828,0.000098,0.000098,0.000085,0.000093,1852,0,0,0
20150829,0.000093,0.000104,0.000093,0.000096,436,0,0,0
20150830,0.000096,0.000104,0.000096,0.000104,1193,0,0,0
20150831,0.000104,0.000104,0.000094,0.000094,588,0,0,0
20150901,0.000094,0.000105,0.000093,0.000100,527,0,0,0
20150902,0.000100,0.000100,0.000088,0.000088,897,0,0,0
20150903,0.000088,0.000089,0.000083,0.000089,333,0,0,0
20150904,0.000089,0.000097,0.000088,0.000097,233,0,0,0
20150905,0.000097,0.000098,0.000085,0.000086,1099,0,0,0
20150906,0.000086,0.000096,0.000085,0.000096,902,0,0,0
20150907,0.000096,0.000098,0.000094,0.000096,315,0,0,0
